hotel_name,url,rate,description,latitude,longitude
Le trente trois,https://www.booking.com/hotel/fr/le-trente-trois.fr.html?aid=304142&label=gen173nr-1FCAQoggJCC3NlYXJjaF91emVzSA1YBGhNiAEBmAENuAEKyAEF2AEB6AEB-AEDiAIBqAIDuAKSxK2jBsACAdICJDJhNDFjZTgwLTFhYzYtNDdiZC1iZmE2LWRjNTA0MzkyMTc2Y9gCBeACAQ&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=11&hapos=11&sr_order=popularity&srpvid=721958c9f4410209&srepoch=1684759059&from=searchresults,9.1," Situé à Uzès, à 31 km du parc des expositions de Nîmes et à 38 km de la gare centrale d'Avignon, Le trente trois offre une vue sur la ville et dispose d'une connexion Wi-Fi gratuite.
  Situé à Uzès, à 31 km du parc des expositions de Nîmes et à 38 km de la gare centrale d'Avignon, Le trente trois offre une vue sur la ville et dispose d'une connexion Wi-Fi gratuite.
",44.00964195,4.41788524
Maison de Roche-Uzès Centre Historique L' Ucetia,https://www.booking.com/hotel/fr/maison-de-roche-uzes-centre-historique-l-ucetia.fr.html?aid=304142&label=gen173nr-1FCAQoggJCC3NlYXJjaF91emVzSA1YBGhNiAEBmAENuAEKyAEF2AEB6AEB-AEDiAIBqAIDuAKSxK2jBsACAdICJDJhNDFjZTgwLTFhYzYtNDdiZC1iZmE2LWRjNTA0MzkyMTc2Y9gCBeACAQ&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=12&hapos=12&sr_order=popularity&srpvid=721958c9f4410209&srepoch=1684759059&from=searchresults,9.3," Située à Uzès, à seulement 31 km du parc des expositions de Nîmes, la Maison de Roche-Uzès Centre Historique L' Ucetia propose des hébergements avec une terrasse, un restaurant et une connexion Wi-Fi gratuite. Vous profiterez d'une terrasse et d'une aire de jeux pour enfants.
  Située à Uzès, à seulement 31 km du parc des expositions de Nîmes, la Maison de Roche-Uzès Centre Historique L' Ucetia propose des hébergements avec une terrasse, un restaurant et une connexion Wi-Fi gratuite. Vous profiterez d'une terrasse et d'une aire de jeux pour enfants.
",44.0112246,4.4199226
GOLF CLUB D'UZES,https://www.booking.com/hotel/fr/golf-club-d-39-uzes.fr.html?aid=304142&label=gen173nr-1FCAQoggJCC3NlYXJjaF91emVzSA1YBGhNiAEBmAENuAEKyAEF2AEB6AEB-AEDiAIBqAIDuAKSxK2jBsACAdICJDJhNDFjZTgwLTFhYzYtNDdiZC1iZmE2LWRjNTA0MzkyMTc2Y9gCBeACAQ&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=10&hapos=10&sr_order=popularity&srpvid=721958c9f4410209&srepoch=1684759059&from_sustainable_property_sr=1&from=searchresults,8.0," Offrant une vue sur le jardin, le GOLF CLUB D'UZES est situé à Uzès. Il propose un restaurant, un salon commun, un bar, un jardin, une piscine extérieure ouverte en saison et une terrasse. Une connexion Wi-Fi et un parking privé sont disponibles gratuitement sur place.
  Offrant une vue sur le jardin, le GOLF CLUB D'UZES est situé à Uzès. Il propose un restaurant, un salon commun, un bar, un jardin, une piscine extérieure ouverte en saison et une terrasse. Une connexion Wi-Fi et un parking privé sont disponibles gratuitement sur place.
",43.982419,4.437963
Exquisite studio for 2 - Brochant,https://www.booking.com/hotel/fr/exquisite-studio-for-2-brochant-paris1.fr.html?aid=304142&label=gen173nr-1FCAQoggJCDHNlYXJjaF9wYXJpc0gNWARoTYgBAZgBDbgBCsgBBdgBAegBAfgBA4gCAagCA7gCksStowbAAgHSAiQ1MThkZTczZC05NjMxLTQ0MjMtYWJhZi1mZjAyYzQ2ZmM5NzDYAgXgAgE&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=20&hapos=20&sr_order=popularity&srpvid=9d0058c91a2b014e&srepoch=1684759059&from=searchresults,, ,48.868843,2.347333
Hôtel Le Saint-Geniès,https://www.booking.com/hotel/fr/le-saint-genies.fr.html?aid=304142&label=gen173nr-1FCAQoggJCC3NlYXJjaF91emVzSA1YBGhNiAEBmAENuAEKyAEF2AEB6AEB-AEDiAIBqAIDuAKSxK2jBsACAdICJDJhNDFjZTgwLTFhYzYtNDdiZC1iZmE2LWRjNTA0MzkyMTc2Y9gCBeACAQ&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=9&hapos=9&sr_order=popularity&srpvid=721958c9f4410209&srepoch=1684759059&from_sustainable_property_sr=1&from=searchresults,8.8," Cet hôtel à la gestion familiale est situé au cœur d'un jardin, dans un quartier résidentiel paisible à 1,5 km du centre historique d'Uzès. Il comprend une piscine extérieure et offre de belles vues sur la campagne.
  Cet hôtel à la gestion familiale est situé au cœur d'un jardin, dans un quartier résidentiel paisible à 1,5 km du centre historique d'Uzès. Il comprend une piscine extérieure et offre de belles vues sur la campagne.
",44.02305334,4.42047223
ibis Nîmes Ouest - A9,https://www.booking.com/hotel/fr/ibis-na-r-mes-ouest.fr.html?aid=304142&label=gen173nr-1FCAQoggJCDXNlYXJjaF9uw65tZXNIDVgEaE2IAQGYAQ24AQrIAQXYAQHoAQH4AQOIAgGoAgO4ApLEraMGwAIB0gIkMTdiMTYyOWEtODBiZC00YTkwLWFhY2EtZjVlYzM2MGNiOWIy2AIF4AIB&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=20&hapos=20&sr_order=popularity&srpvid=347558c9b6260074&srepoch=1684759059&from_sustainable_property_sr=1&from=searchresults,7.8, ,43.81389059,4.34434175
STMALO,https://www.booking.com/hotel/fr/stmalo.fr.html?aid=304142&label=gen173nr-1FCAQoggJCEXNlYXJjaF9zYWludC1tYWxvSA1YBGhNiAEBmAENuAEKyAEF2AEB6AEB-AEDiAIBqAIDuAKSxK2jBsACAdICJDU2MTExOGIwLWM3ZmMtNDQ4NC1hZDIxLTBkNjFlMjc3OGYyN9gCBeACAQ&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=20&hapos=20&sr_order=popularity&srpvid=86ed58c9ca9000df&srepoch=1684759059&from=searchresults,," Doté d'une connexion Wi-Fi gratuite, le STMALO est situé dans le centre de Saint-Malo, à moins de 200 mètres de la plage Eventail et à 400 mètres de celle du Sillon. Cet appartement se trouve à 400 mètres du casino Barrière Saint-Malo et à moins de 1 km du fort national.
  Doté d'une connexion Wi-Fi gratuite, le STMALO est situé dans le centre de Saint-Malo, à moins de 200 mètres de la plage Eventail et à 400 mètres de celle du Sillon. Cet appartement se trouve à 400 mètres du casino Barrière Saint-Malo et à moins de 1 km du fort national.
",48.650819,-2.023999
Brit Hotel Saint Malo – Le Transat,https://www.booking.com/hotel/fr/brit-le-transat.fr.html?aid=304142&label=gen173nr-1FCAQoggJCEXNlYXJjaF9zYWludC1tYWxvSA1YBGhNiAEBmAENuAEKyAEF2AEB6AEB-AEDiAIBqAIDuAKSxK2jBsACAdICJDU2MTExOGIwLWM3ZmMtNDQ4NC1hZDIxLTBkNjFlMjc3OGYyN9gCBeACAQ&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=19&hapos=19&sr_order=popularity&srpvid=86ed58c9ca9000df&srepoch=1684759059&from_sustainable_property_sr=1&from=searchresults,7.4," Situé à l'entrée de Saint-Malo, en face de l'aquarium, le Brit Hotel Le Transat propose des chambres climatisées bien équipées. Il est très bien desservi par les transports, à la périphérie de la ville.
  Situé à l'entrée de Saint-Malo, en face de l'aquarium, le Brit Hotel Le Transat propose des chambres climatisées bien équipées. Il est très bien desservi par les transports, à la périphérie de la ville.
",48.6218214,-1.99130416
Escale Oceania Saint Malo,https://www.booking.com/hotel/fr/mascottesaintmalo.fr.html?aid=304142&label=gen173nr-1FCAQoggJCEXNlYXJjaF9zYWludC1tYWxvSA1YBGhNiAEBmAENuAEKyAEF2AEB6AEB-AEDiAIBqAIDuAKSxK2jBsACAdICJDU2MTExOGIwLWM3ZmMtNDQ4NC1hZDIxLTBkNjFlMjc3OGYyN9gCBeACAQ&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=18&hapos=18&sr_order=popularity&srpvid=86ed58c9ca9000df&srepoch=1684759059&from_sustainable_property_sr=1&from=searchresults,8.0," L'Escale Oceania Saint Malo se trouve sur le front de mer, en face de la plage du Sillon, à 14 minutes de marche de la gare de Saint-Malo. Il propose des chambres modernes, une terrasse bien exposée et un service de restauration 24h/24.
  L'Escale Oceania Saint Malo se trouve sur le front de mer, en face de la plage du Sillon, à 14 minutes de marche de la gare de Saint-Malo. Il propose des chambres modernes, une terrasse bien exposée et un service de restauration 24h/24.
",48.65428009,-2.00883776
Hôtel de France et Chateaubriand,https://www.booking.com/hotel/fr/de-france-et-chateaubriand.fr.html?aid=304142&label=gen173nr-1FCAQoggJCEXNlYXJjaF9zYWludC1tYWxvSA1YBGhNiAEBmAENuAEKyAEF2AEB6AEB-AEDiAIBqAIDuAKSxK2jBsACAdICJDU2MTExOGIwLWM3ZmMtNDQ4NC1hZDIxLTBkNjFlMjc3OGYyN9gCBeACAQ&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=14&hapos=14&sr_order=popularity&srpvid=86ed58c9ca9000df&srepoch=1684759059&from=searchresults,7.8," Situé au cœur de la ville historique de Saint-Malo, l’Hôtel de France et Chateaubriand offre une vue imprenable sur la mer et le sillon, à 210 mètres du port de plaisance de Saint-Malo.
  Situé au cœur de la ville historique de Saint-Malo, l’Hôtel de France et Chateaubriand offre une vue imprenable sur la mer et le sillon, à 210 mètres du port de plaisance de Saint-Malo.
",48.6511934,-2.02379644
